taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Assembly Method	Release Date	Biotic Relationships	Cell Shape	Energy Source	Oxygen Requirement	Sequencing Method	Sporulation	Genome Size   * assembled	Gene Count   * assembled	CRISPR Count   * assembled	GC Count   * assembled	CDS Count   * assembled	RNA Count   * assembled	16S rRNA Count   * assembled	23S rRNA Count   * assembled	Pseudo Genes Count 	Unchar Count 	w/ Func Pred Count   * assembled	w/o function prediction  * assembled	Paralogs Count
646311968	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Xylanimonas cellulosilytica XIL07, DSM 15894	DOE Joint Genome Institute (JGI)	646311968	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Xylanimonas	Xylanimonas cellulosilytica	Newbler v. 2.3, ARACHNE v. 2.0	4/1/2010	Free living	Coccus-shaped	Chemoorganotroph	Aerobe	454 GS FLX, Sanger	Nonsporulating	3831380	3549	1	2775913	3485	64	3	3	42	0	2406	1079	393
2568526720	Bacteria	Finished	Comparison of multidrug resistant Acinetobacter baumannii strains from one US hospital system.	Acinetobacter baumannii UH7007	J. Craig Venter Institute (JCVI)	2568526720	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	Velvet v. 1.0.17	5/14/2014					Illumina GAIIx		3907326	3839	0	1519830	3767	72	1	1	0	0	2927	840	437
2519103106	Bacteria	Finished	Mycoplasma hyorhinis MCLD	Mycoplasma hyorhinis SK76	University of Texas	2519103106	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hyorhinis	Newbler		Symbiotic				454 GS FLX Titanium		836897	786	0	216689	753	33	1	1	0	0	572	181	96
2517487008	Bacteria	Finished	Candidatus Portiera aleyrodidarum	Candidatus Portiera aleyrodidarum (Portiera_q)		2517487008	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Candidatus Portiera aleyrodidarum	Velvet	8/6/2015							350928	295	1	91802	258	37	1	1	0	0	247	11	2
637000154	Bacteria	Finished	Listeria monocytogenes 4b F2365	Listeria monocytogenes sv. 4b F2365	J. Craig Venter Institute (JCVI)	637000154	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	TIGR Assembler, Celera Assembler, Bambus	12/1/2006	Free living	Rod-shaped	Chemoorganotroph	Facultative		Nonsporulating	2905187	3013	0	1105169	2844	169	6	6	23	0	2069	775	1651
2561511198	Bacteria	Finished	Bacillus thuringiensis serovar kurstaki str. HD73	Bacillus thuringiensis sv. kurstaki HD73	Chinese Academy of Agricultural Sciences	2561511198	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	Newbler v. 2.3	3/23/2014					454, Illumina, Sanger		5908575	6334	0	2077976	6194	140	12	12	0	0	4551	1643	1385
649989998	Bacteria	Finished	Shigella dysenteriae 1617	Shigella dysenteriae 1617	University of Maryland School of Medicine	649989998	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae	Celera Assembler v. 6.0	7/1/2011	Free living	Rod-shaped	Chemoorganotroph	Facultative	454	Nonsporulating	4613557	5951	0	2361630	5840	111	7	7	1	0	4972	868	2202
2597490097	Bacteria	Finished	Brucella sequencing project - LANL	Brucella abortus bv. 9 C68	Los Alamos National Laboratory	2597490097	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella abortus	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 39750; Phrap v. SPS - 4.24	12/8/2014	Free living	Rod-shaped		Aerobe	454, Illumina	Nonsporulating	3279946	3159	1	1876644	3082	77	3	3	0	0	2591	491	213
2597490161	Bacteria	Finished	Klebsiella pneumoniae strain:blaNDM-1 Genome sequencing	Klebsiella pneumoniae blaNDM-1	National Cancer Institute	2597490161	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	HGAP v. 2	12/8/2014		Rod-shaped		Facultative	PacBio RS		5510332	5352	6	3155137	5136	216	8	8	0	0	4518	618	714
2554235393	Bacteria	Finished	Enterococcus faecium Aus0085 Genome sequencing	Enterococcus faecium Aus0085	University of Melbourne	2554235393	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium		1/1/2014							3239275	3317	0	1230322	3221	96	6	6	0	0	2528	693	570
2554235321	Bacteria	Finished	Streptococcus constellatus pharyngis C818	Streptococcus constellatus pharyngis C818	National Microbiology Laboratory, Public Health Agency of Canada	2554235321	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus constellatus		1/1/2014	Free living	Coccus-shaped		Anaerobe			1935662	1825	0	739106	1754	71	4	4	74	0	1454	300	86
649633107	Bacteria	Finished	Vibrio vulnificus M06-24/O	Vibrio vulnificus M06-24/O	Chunlab, Inc, Hankuk Univ of Foreign Studies, Seoul National University, Sogang University, Yonsei University	649633107	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus		7/1/2011	Free living	Rod-shaped	Heterotroph	Facultative	Sanger, 454 GS FLX, Illumina GAIIx	Nonsporulating	5007768	4701	0	2350214	4562	139	9	9	0	0	3484	1078	381
644736410	Bacteria	Finished	Teredinibacter turnerae T7901	Teredinibacter turnerae T7901	J. Craig Venter Institute (JCVI)	644736410	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Teredinibacter	Teredinibacter turnerae	Celera assembler	12/1/2009	Symbiotic	Rod-shaped	Chemoheterotroph		454 GS20, Sanger		5193164	4308	2	2642835	4254	54	3	3	0	0	3083	1171	283
644736387	Bacteria	Finished	Methylobacterium extorquens DM4	Methylorubrum extorquens DM4	CEA Genoscope	644736387	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum extorquens	Phred-Phrap-Consed	12/1/2009	Free living	Rod-shaped	Methylotroph	Aerobe		Nonsporulating	6123851	5829	4	4164002	5741	88	5	5	0	0	3357	2384	1125
650377942	Bacteria	Finished	Fibrobacter succinogenes succinogenes S85	Fibrobacter succinogenes S85	J. Craig Venter Institute (JCVI)	650377942	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes		7/1/2011	Free living	Rod-shaped		Anaerobe		Nonsporulating	3843004	2939	5	1846530	2871	68	3	3	0	0	2058	813	315
2523231053	Bacteria	Finished	DPO	Desulfotignum phosphitoxidans FiPS-3, DSM 13687	Goettingen Genomics Laboratory	2523231053	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	Desulfotignum phosphitoxidans	MIRA v. 3.2	4/11/2013	Free living	Rod-shaped	Chemolithoautotroph	Anaerobe	454 GS FLX Titanium, Sanger	Nonsporulating	4998761	4699	2	2562118	4646	53	2	2	0	0	3740	906	906
2561511191	Bacteria	Finished	Chlamydia psittaci Genome sequencing Univ of Maryland School of Medicine	Chlamydia psittaci 01DC12	Moredun Research Institute	2561511191	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci		3/23/2014							1178564	1001	0	458766	959	42	0	0	12	0	810	149	14
2554235359	Bacteria	Finished	Staphylococcus aureus aureus SA40	Staphylococcus aureus aureus SA40	Chang Gung Memorial Hospital	2554235359	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus		1/1/2014							2728308	2540	1	896480	2465	75	5	5	10	0	2152	313	222
2554235426	Bacteria	Finished	Corynebacterium argentoratense DSM 44202 Genome sequencing	Corynebacterium argentoratense DSM 44202	Bielefeld University	2554235426	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium argentoratense		1/1/2014							2031902	1937	0	1196801	1875	62	4	4	2	0	1425	450	66
2558860229	Bacteria	Finished	Burkholderia sequencing - Los Alamos National Laboratory	Burkholderia pseudomallei MSHR511	Los Alamos National Laboratory	2558860229	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei		3/7/2014							7316085	6035	1	4978342	5964	71	4	4	10	0	5069	895	977
2540341111	Bacteria	Finished	Listeria monocytogenes SLCC2479	Listeria monocytogenes SLCC2479	ERA-NET Bioenergy	2540341111	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes		9/19/2013			Heterotroph				2972172	3018	2	1128050	2935	83	6	6	0	0	2490	445	238
649633002	Bacteria	Finished	Whole genome sequencing, assembly and initial annotation of Acidobacterium species from Arctic tundra soils	Granulicella tundricola MP5ACTX9	DOE Joint Genome Institute (JGI)	649633002	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola	Newbler, VELVET, PHRAP	7/1/2011	Free living	Rod-shaped	Chemoorganotroph	Aerobe	Sanger	Nonsporulating	5503984	4757	1	3301098	4705	52	1	1	163	0	2999	1706	662
649633108	Bacteria	Finished	Xenorhabdus nematophila ATCC 19061	Xenorhabdus nematophila ATCC 19061	Hiram College, Monsanto, U.S. Department of Agriculture, Agricultural Research Service, Donald Danforth Plant Science Center	649633108	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus nematophila		7/1/2011	Free living	Rod-shaped	Heterotroph	Facultative		Nonsporulating	4587917	4583	3	2028492	4474	109	7	14	0	0	2976	1498	1041
642555147	Bacteria	Finished	Phenylobacterium zucineum HLK1	Phenylobacterium zucineum HLK1	Beijing Genomics Institute (BGI)	642555147	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium zucineum	Phred-Phrap-Consed	12/1/2008	Free living	Rod-shaped		Aerobe	Sanger		4379231	3899	0	3113691	3854	45	1	1	0	0	2938	916	633
2806310687	Bacteria	Finished	Helicobacter canadensis MIT 98-5491, ATCC 700968	Helicobacter canadensis MIT 98-5491, ATCC 700968	Baylor College of Medicine	2806310687	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter canadensis	Newbler	11/2/2018	Free living	Spiral-shaped		Microaerophilic	454, Illumina	Nonsporulating	1623845	1634	3	547014	1580	54	3	3	0	0	1312	268	129
644736379	Bacteria	Finished	DOEM_782025	Kosmotoga olearia TBF 19.5.1	DOE Joint Genome Institute (JGI)	644736379	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga	Kosmotoga olearia		12/1/2009	Free living	Rod-shaped			454 GS FLX		2302126	2221	3	956441	2169	52	2	2	51	0	1623	546	278
637000316	Bacteria	Finished	Methanogenic Syntropic Consortium	Syntrophomonas wolfei Goettingen, DSM 2245B	DOE Joint Genome Institute (JGI)	637000316	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Syntrophomonas	Syntrophomonas wolfei		12/1/2006		Spiral-shaped		Anaerobe	Sanger	Nonsporulating	2936195	2677	8	1317351	2574	103	3	3	70	0	1693	881	1467
2563366561	Bacteria	Finished	Analysis of diverse Chlamydia trachomatis strains, Sanger Institute	Chlamydia trachomatis E/SotonE8	Wellcome Trust Sanger Institute	2563366561	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis		4/14/2014							1056314	948	0	435720	905	43	2	2	0	0	690	215	10
2597490113	Bacteria	Finished	Brucella sequencing project - LANL	Brucella melitensis bv. 1 16M	Los Alamos National Laboratory	2597490113	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella melitensis	Newbler v. 2.6; Velvet v. 1.2.08; Allpaths v. 39750; Phrap v. SPS - 4.24	12/8/2014	Symbiotic	Rod-shaped		Aerobe	454, Illumina	Nonsporulating	3294775	3191	1	1885413	3115	76	3	3	0	0	2613	502	216
2534682368	Bacteria	Finished	Serratia odorifera 4Rx13	Serratia odorifera 4Rx13	University of Gottingen	2534682368	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia plymuthica		11/4/2013	Free living	Rod-shaped		Facultative	454, Sanger		5403731	4798	0	3033325	4695	103	7	7	1	0	4193	502	514
651053052	Bacteria	Finished	Neisseria meningitidis genome sequencing, Univ of Maryland, School of Medicine / IGS	Neisseria meningitidis M04-240196	University of Maryland School of Medicine	651053052	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis		12/1/2011	Free living	Coccus-shaped		Aerobe		Nonsporulating	2250449	2018	2	1156841	1947	71	4	4	75	0	1513	434	210
2561511218	Bacteria	Finished	Gigasnoma - The Desulfovibrio gigas Genome	Desulfovibrio gigas DSM 1382, ATCC 19364	ITQB Antonio Xavier - UNL	2561511218	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio gigas		3/23/2014		Curved-shaped		Anaerobe			3796022	3394	1	2404344	3343	51	1	1	47	0	2590	753	324
2515154046	Bacteria	Finished	Candidatus Portiera aleyrodidarum	Candidatus Portiera aleyrodidarum	Yale University	2515154046	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Candidatus Portiera aleyrodidarum	Velvet, MIRA	8/6/2015	Symbiotic				Illumina HiSeq 2000		358242	300	0	93765	263	37	1	1	0	0	251	12	2
2506520046	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Aquiflexum balticum BA160, DSM 16537	DOE Joint Genome Institute (JGI)	2506520046	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Aquiflexum	Aquiflexum balticum	ALLPATHS v. R41043, Velvet v. 1.1.05, Phrap v. 4.24 SPS	9/30/2011	Free living	Rod-shaped		Aerobe	454, Illumina		5987095	5121	4	2358229	5052	69	4	4	89	0	3524	1528	515
643692028	Bacteria	Finished	Mycobacterium bovis BCG Tokyo 172	Mycobacterium bovis BCG Tokyo 172	Agencourt Bioscience	643692028	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	Paracel Genome Assembler	8/1/2009	Free living	Rod-shaped	Chemoorganotroph	Aerobe		Nonsporulating	4371711	3996	3	2869723	3947	49	1	1	0	0	2654	1293	719
2561511178	Bacteria	Finished	Klebsiella oxytoca E718	Klebsiella oxytoca E718	National Cheng Kung University	2561511178	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis		3/23/2014			Heterotroph				6561678	6132	1	3644170	6023	109	8	8	38	0	5142	881	991
2563366563	Bacteria	Finished	Analysis of diverse Chlamydia trachomatis strains, Sanger Institute	Chlamydia trachomatis G/SotonG1	Wellcome Trust Sanger Institute	2563366563	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis		4/14/2014							1049642	943	0	433155	900	43	2	2	0	0	689	211	10
2518645550	Bacteria	Finished	Mycobacterium sp. MOTT36Y	Mycobacterium sp. MOTT36Y	Seoul National University	2518645550	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. MOTT36Y		12/4/2012					454 GS FLX		5613626	5177	1	3812378	5128	49	1	1	0	0	4153	975	1125
2775507261	Bacteria	Finished	Borrelia turicatae 91E135	Borrelia turicatae 91E135	National Institute of Allergy and Infectious Diseases	2775507261	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia turicatae		4/16/2018		Spiral-shaped		Aerobe		Nonsporulating	1165365	1140	0	343520	1102	38	1	1	0	0	810	292	201
642487181	Bacteria	Finished	Acidovorax genus	Thermotoga sp. RQ2	DOE Joint Genome Institute (JGI)	642487181	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga sp. RQ2		8/1/2008	Free living	Rod-shaped	Heterotroph	Anaerobe		Nonsporulating	1877693	1868	7	867075	1819	49	1	1	0	0	1482	337	132
651053066	Bacteria	Finished	Understanding the role of population microdiversity in adaptation to environmental redox gradients	Shewanella baltica OS117	DOE Joint Genome Institute (JGI)	651053066	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella baltica		12/1/2011	Free living	Rod-shaped	Heterotroph	Facultative		Nonsporulating	5526018	4985	0	2543603	4856	129	10	10	188	0	3447	1409	592
649633057	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Intrasporangium calvum 7KIP, DSM 43043	DOE Joint Genome Institute (JGI)	649633057	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Intrasporangium	Intrasporangium calvum	Newbler v. 2.0.0 PostRelease-11/04/2008, Phrap v. 4.24 SPS	7/1/2011	Free living		Chemoorganotroph	Aerobe	454 GS FLX, 454 GS FLX Titanium, Illumina GAIIx	Nonsporulating	4024382	3710	1	2845385	3653	57	2	2	90	0	2687	966	321
643692029	Bacteria	Finished	Nautilia profundicola Am-H	Nautilia profundicola Am-H	J. Craig Venter Institute (JCVI)	643692029	Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Nautilia	Nautilia profundicola	Celera Assembler v. 3	8/1/2009	Free living	Rod-shaped	Chemoautotroph	Obligate anaerobe	Sanger		1676444	1788	0	561735	1730	58	4	4	0	0	1370	360	65
648231704	Bacteria	Finished	Edwardsiella tarda FL6-60	Edwardsiella tarda FL6-60	Leiden University	648231704	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Edwardsiella	Edwardsiella tarda		1/1/2011	Free living	Rod-shaped	Heterotroph	Facultative		Nonsporulating	3728801	3376	0	2226378	3256	120	8	8	0	0	2771	485	258
2524023216	Bacteria	Finished	Identification of substrain-specific mutations by massively parallel whole-genome resequencing of Synechocystis sp. PCC 6803	Synechocystis sp. PCC 6803 PCC-P	University of Tokyo	2524023216	Cyanobacteria	unclassified	Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6803	Velvet, Maq, BWA, BreakDancer	4/19/2013	Free living	Coccus-shaped		Facultative	Illumina		3570114	3218	0	1704201	3169	49	2	2	0	0	2465	704	394
2565956578	Bacteria	Finished	7 isolates of the Pseudomonas aeruginosa Liverpool epidemic strain (LES) from the UK and Canada	Pseudomonas aeruginosa LESlike7	Laval University	2565956578	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa		4/28/2014							6467914	5949	3	4298366	5873	76	4	4	45	0	4890	983	793
651053039	Bacteria	Finished	Lactobacillus casei LC2W	Lactobacillus paracasei LC2W	Tianjin Biochip	651053039	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paracasei		12/1/2011	Free living	Rod-shaped	Heterotroph	Facultative	Solexa, 454 GS FLX		3077434	3237	1	1425281	3164	73	5	5	0	0	2172	992	450
650716106	Bacteria	Finished	Yersinia enterocolitica palearctica 105.5R(r) (O:9)	Yersinia enterocolitica palearctica 105.5R(r)	Tianjin Biochip	650716106	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica		12/1/2011	Free living	Rod-shaped	Heterotroph	Aerobe		Nonsporulating	4621811	4114	0	2170338	4021	93	7	7	0	0	3281	740	446
640427111	Bacteria	Finished	Dehalococcoides sp. Strain BAV1	Dehalococcoides mccartyi BAV1	DOE Joint Genome Institute (JGI)	640427111	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi		9/1/2007	Free living	Disc-shaped	Chemolithotroph	Anaerobe	Sanger	Nonsporulating	1341892	1443	0	633005	1385	58	1	1	14	0	1024	361	108
2512564043	Bacteria	Finished	Rickettsia philipii 364D	Rickettsia philipii 364D	Los Alamos National Laboratory	2512564043	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia philipii		4/5/2012						Nonsporulating	1287740	1380	0	418113	1344	36	1	1	0	0	928	416	59
640069307	Bacteria	Finished	Burkholderia vietnamiensis strain G4 (R1808)	Burkholderia vietnamiensis G4	DOE Joint Genome Institute (JGI)	640069307	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis		6/1/2007	Free living	Rod-shaped	Heterotroph	Facultative			8391070	7880	1	5516126	7775	105	6	6	158	0	5237	2538	1637
637000269	Bacteria	Finished	Ensifer meliloti 1021	Sinorhizobium meliloti 1021	Stanford University	637000269	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti		12/1/2006	Symbiotic	Rod-shaped		Aerobe		Nonsporulating	6691694	6295	0	4160497	6212	83	3	3	7	0	4183	2029	4369
650377937	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Eubacterium rectale M104/1	Wellcome Trust Sanger Institute	650377937	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	[Eubacterium] rectale		7/1/2011	Free living	Rod-shaped		Anaerobe	454		3698419	3267	8	1446255	3212	55	1	1	0	0	2072	1140	362
637000102	Bacteria	Finished	Pectobacterium atrosepticum SCRI1043	Pectobacterium atrosepticum SCRI1043	Wellcome Trust Sanger Institute	637000102	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium atrosepticum	Phrap, Gap4	12/1/2006	Free living	Rod-shaped		Facultative	Sanger		5064019	4637	2	2580995	4489	148	7	7	17	0	3502	987	2673
2511231105	Bacteria	Finished	Blattabacterium sp. (Mastotermes darwiniensis) MADAR	Blattabacterium sp. (Mastotermes darwiniensis) MADAR	Yale University	2511231105	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium sp. (Mastotermes darwiniensis)		2/28/2012							590336	580	0	162355	541	39	1	1	9	0	509	32	2
637000227	Bacteria	Finished	Burkholderia strains	Psychrobacter cryohalolentis K5	DOE Joint Genome Institute (JGI)	637000227	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter cryohalolentis		12/1/2006	Free living	Rod-shaped		Aerobe	Sanger		3101097	2582	0	1309833	2515	67	4	4	4	0	1935	580	1259
2513237181	Bacteria	Finished	Caldisericum exile AZM16c01	Caldisericum exile AZM16c01, NBRC 104410	National Institute of Technology and Evaluation	2513237181	Caldiserica	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	Caldisericum exile		5/22/2012	Free living			Anaerobe	Sanger	Nonsporulating	1558103	1632	1	551177	1581	51	1	1	0	0	1253	328	145
